rank,feature,coefficient,abs_importance
258,categorical__order_city_Chennai,-0.22396402090046547,0.22396402090046547
259,categorical__order_city_Manchester,0.2236418417957864,0.2236418417957864
260,categorical__order_city_Bridgetown,-0.22339815568911736,0.22339815568911736
261,categorical__order_country_Barbados,-0.22339815568911736,0.22339815568911736
262,categorical__order_city_Soyapango,0.22310761618425476,0.22310761618425476
263,categorical__order_city_Chimaltenango,0.22308097854331377,0.22308097854331377
264,categorical__order_city_Depok,0.22291185870979796,0.22291185870979796
265,categorical__order_city_Toowoomba,0.22174644566257692,0.22174644566257692
266,categorical__order_month_2017-05,-0.21595666586090687,0.21595666586090687
267,categorical__order_city_Brumado,0.21540661676936151,0.21540661676936151
268,categorical__product_id_565,-0.2145926705953689,0.2145926705953689
269,categorical__order_city_Nuremberg,-0.21266264049498568,0.21266264049498568
270,categorical__order_country_Kenia,-0.21082080733756506,0.21082080733756506
271,categorical__category_name_Golf Gloves,-0.20980642473344138,0.20980642473344138
272,categorical__market_Africa,0.20823049332617605,0.20823049332617605
273,categorical__order_city_Valencia,0.20695634068090799,0.20695634068090799
274,categorical__order_country_Senegal,-0.2064905217756244,0.2064905217756244
275,categorical__order_city_Berlín,-0.20579380957232304,0.20579380957232304
276,categorical__order_city_Leipzig,-0.2031111257274908,0.2031111257274908
277,categorical__category_name_Water Sports,0.20235599260847292,0.20235599260847292
278,categorical__order_city_Viena,-0.2021780867579243,0.2021780867579243
279,categorical__order_city_Querétaro,-0.20204897867139943,0.20204897867139943
280,categorical__market_Europe,0.20154990069781037,0.20154990069781037
281,categorical__category_name_Hockey,0.1990080765523537,0.1990080765523537
282,categorical__category_name_Computers,0.19847764962009248,0.19847764962009248
283,categorical__product_id_1351,0.19847764962009248,0.19847764962009248
284,categorical__product_id_893,-0.1981346408231822,0.1981346408231822
285,categorical__order_city_Zurich,0.19765189379904338,0.19765189379904338
286,categorical__order_country_Argelia,-0.19631790042515496,0.19631790042515496
287,categorical__order_city_Sale,0.19526567036782866,0.19526567036782866
288,categorical__order_city_Matagalpa,-0.19194536805518395,0.19194536805518395
289,categorical__order_country_México,-0.19131677532730357,0.19131677532730357
290,categorical__product_id_365,0.19113027036951888,0.19113027036951888
291,categorical__order_city_Pune,0.19068809110383425,0.19068809110383425
292,categorical__order_country_Alemania,-0.1904812775783423,0.1904812775783423
293,categorical__product_id_926,-0.1890885750674005,0.1890885750674005
294,categorical__order_city_Tilburg,-0.18902715120086594,0.18902715120086594
295,categorical__order_city_Culiacán,0.1886135602699035,0.1886135602699035
296,categorical__order_city_La Ceiba,0.1877349912262583,0.1877349912262583
297,categorical__order_country_Brasil,0.18769024639133658,0.18769024639133658
298,categorical__order_city_Henderson,0.18732278459774632,0.18732278459774632
299,categorical__product_id_572,-0.18687490844881274,0.18687490844881274
300,categorical__order_country_Afganistán,-0.18638446918403348,0.18638446918403348
301,categorical__order_country_Zimbabue,0.1859294844158874,0.1859294844158874
302,categorical__order_city_Kano,0.18411502559925771,0.18411502559925771
303,categorical__order_country_España,-0.18345753983441018,0.18345753983441018
304,categorical__order_city_Dresden,-0.18142261304616594,0.18142261304616594
305,categorical__order_country_Lituania,-0.18121521613226593,0.18121521613226593
306,categorical__order_country_Francia,-0.18007200203712898,0.18007200203712898
307,categorical__order_city_San Diego,0.17726777802484517,0.17726777802484517
308,categorical__order_city_Nairobi,-0.17630865401085402,0.17630865401085402
309,categorical__order_region_Eastern Asia,0.17418408881786657,0.17418408881786657
310,categorical__category_name_DVDs,-0.1720608362384338,0.1720608362384338
311,categorical__product_id_1354,-0.1720608362384338,0.1720608362384338
312,categorical__order_country_Turquía,0.17180163112047536,0.17180163112047536
313,categorical__order_city_Bangkok,-0.17143879734150244,0.17143879734150244
314,categorical__product_id_917,-0.17089057265849142,0.17089057265849142
315,categorical__order_region_South America,-0.16588272923478364,0.16588272923478364
316,categorical__order_city_Luanda,-0.1652885496914389,0.1652885496914389
317,categorical__order_city_Contramaestre,-0.16351462204537973,0.16351462204537973
318,categorical__order_country_Bielorrusia,0.16293640548495464,0.16293640548495464
319,categorical__product_id_821,0.16200390668270606,0.16200390668270606
320,categorical__order_city_Frankfurt,0.16169375605664368,0.16169375605664368
321,categorical__order_city_Turin,0.16148342959556747,0.16148342959556747
322,categorical__order_region_South of  USA,0.16140133174425517,0.16140133174425517
323,categorical__order_city_Glasgow,-0.16093098858887386,0.16093098858887386
324,categorical__order_city_Dublín,-0.15765158914603777,0.15765158914603777
325,categorical__order_city_Columbus,-0.15724864892885093,0.15724864892885093
326,categorical__order_month_2016-07,-0.15710669707823952,0.15710669707823952
327,categorical__order_city_Lagos,0.15572382488461214,0.15572382488461214
328,categorical__order_country_Rumania,-0.15458806810939435,0.15458806810939435
329,categorical__order_month_2015-10,0.1534346518490191,0.1534346518490191
330,categorical__order_city_Zapopan,0.15198223799914415,0.15198223799914415
331,categorical__product_id_1357,-0.15188549319060554,0.15188549319060554
332,categorical__category_name_Men's Clothing,-0.15188549319060554,0.15188549319060554
333,categorical__order_city_San Pedro de Macorís,-0.15183423557880257,0.15183423557880257
334,categorical__category_name_Golf Shoes,-0.1518207573109786,0.1518207573109786
335,categorical__order_city_Lahore,0.1515014053303478,0.1515014053303478
336,categorical__order_month_2017-04,-0.15129233906799036,0.15129233906799036
337,categorical__department_name_Fitness,-0.15069690396267155,0.15069690396267155
338,categorical__product_id_627,0.1496360211733754,0.1496360211733754
339,categorical__order_country_Tailandia,-0.14962476747127754,0.14962476747127754
340,categorical__order_city_Ilopango,0.14933201862173223,0.14933201862173223
341,categorical__product_id_1360,0.14923921501224247,0.14923921501224247
342,categorical__category_name_Sporting Goods,0.14923921501224247,0.14923921501224247
343,categorical__category_name_Video Games,0.14884164736747504,0.14884164736747504
344,categorical__product_id_1362,0.14884164736747504,0.14884164736747504
345,categorical__order_country_Pakistán,0.14860561787155613,0.14860561787155613
346,categorical__order_city_Pretoria,0.14827067449029785,0.14827067449029785
347,categorical__order_city_Panama City,-0.14786371049066938,0.14786371049066938
348,categorical__order_city_Mandurah,0.14785033807424922,0.14785033807424922
349,categorical__order_country_Argentina,0.1475517187670886,0.1475517187670886
350,categorical__order_city_Coyoacán,-0.14739391567400692,0.14739391567400692
351,categorical__order_city_Sheffield,0.147387235994322,0.147387235994322
352,categorical__product_id_906,-0.14464623973193816,0.14464623973193816
353,categorical__order_city_Bagdad,-0.14426744870549976,0.14426744870549976
354,categorical__order_month_2017-11,0.14232271238032115,0.14232271238032115
